OBJECTID,CLASS,SDIRPRE,SDIRSUF,SFEANME,SFEATYP,FRADDL,TOADDL,FRADDR,TOADDR,MUNL,MUNR,CITYL,CITYR,STATEL,STATER,TRVLWAY,AREAL,AREAR,ZIPCODE_L,ZIPCODE_R,UPDATES,CREATE_DAT,REV_DATE,SEGID,STREET,TURN,Shape__Length
1,Ramp,SB,WB,TASSAJARA ON I580,RAMP,0,0,1792,1812,DU,DU,Dublin,Dublin,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,12/9/2016 3:23:59 PM,181000001,SB TASSAJARA ON I580 WB,No,497.693856034699
2,Ramp,SB,EB,TASSAJARA ON I580,RAMP,0,0,1792,1782,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,7/29/2025 3:46:41 PM,181000002,SB TASSAJARA ON I580 EB,No,562.811997672853
3,Ramp,NB,EB,SANTA RITA ON I580,RAMP,0,0,1792,1752,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,2/20/2018 9:35:28 PM,181000003,NB SANTA RITA  ON I580 EB,No,811.296016547505
4,Ramp,,WB,TASSAJARA OFF I580,RAMP,0,0,1764,1792,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000004,TASSAJARA OFF I580 WB,No,608.864956330415
5,Interstate,,EB,I580,,0,0,1780,1762,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000005,I580 EB,No,535.474919576143
6,Interstate,,WB,I580,,0,0,1813,1851,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000006,I580 WB,No,806.737619405169
7,Interstate,,EB,I580,,0,0,1850,1832,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000007,I580 EB,No,586.780303978323
8,Interstate,,EB,I580,,0,0,1752,1702,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000008,I580 EB,No,1239.17321081652
9,Interstate,,EB,I580,,0,0,2252,2180,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000009,I580 EB,No,1519.00630081104
10,Ramp,,EB,HOPYARD DOUGHERTY OFF I580,RAMP,0,0,2030,2012,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000010,HOPYARD OFF I580,No,386.100056552215
11,Ramp,N,WB,LIVERMORE ON I580,RAMP,0,0,1252,1282,ALCO,ALCO,Livermore,Livermore,CA,CA,FT,Alameda,Alameda,94551,94551,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000011,N LIVERMORE ON I580 WB,No,477.963317264976
12,Interstate,,WB,I580,,0,0,877,915,LI,LI,Livermore,Livermore,CA,CA,FT,Alameda,Alameda,94551,94551,,9/26/2015 8:51:08 PM,9/26/2015 8:51:08 PM,181000012,I580 WB,No,961.791308080988
13,Interstate,,EB,I580,,0,0,876,838,LI,LI,Livermore,Livermore,CA,CA,FT,Alameda,Alameda,94551,94551,,9/26/2015 8:51:08 PM,9/26/2015 8:51:08 PM,181000013,I580 EB,No,855.809427994101
14,Ramp,NB,WB,SAN RAMON ON I580,RAMP,0,0,0,0,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94588,94588,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000014,NB SAN RAMON ON I580 WB,No,331.917566733679
15,Ramp,,SB,CASTLEWOOD OFF I680,RAMP,0,0,0,0,PLS,PLS,Pleasanton,Pleasanton,CA,CA,FT,Alameda,Alameda,94566,94566,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000015,CASTLEWOOD OFF I680 SB,No,558.232696211406
16,Ramp,N,WB,VASCO ON I580,RAMP,0,0,972,982,LI,LI,Livermore,Livermore,CA,CA,FT,Alameda,Alameda,94551,94551,,9/26/2015 8:51:08 PM,12/9/2016 3:23:55 PM,181000016,N VASCO ON I580 WB,No,306.849990978559
17,Local,,,KOOPMAN,RD,9351,9359,9350,9358,ALCO,ALCO,Sunol,Sunol,CA,CA,B,Alameda,Alameda,94586,94586,,9/26/2015 8:51:08 PM,9/26/2015 8:51:08 PM,181000017,KOOPMAN RD,NTT,55.1424586159006
18,Local,,,KOOPMAN,RD,9361,9379,9360,9378,ALCO,ALCO,Sunol,Sunol,CA,CA,B,Alameda,Alameda,94586,94586,,9/26/2015 8:51:08 PM,9/26/2015 8:51:08 PM,181000018,KOOPMAN RD,NTB,39.2599989413816
19,Interstate,,EB,I580,,0,0,1642,1584,ALCO,ALCO,Livermore,Livermore,CA,CA,FT,Alameda,Alameda,94551,94551,,9/26/2015 8:51:08 PM,8/7/2024 1:00:26 AM,181000019,I580 EB,No,1200.46872317675
